year;month;departement;commune;marche;prix
2012;1;Alibori;Banikoara;Banikoara;135
2012;1;Alibori;Malanville;Malanville;150
2012;1;Atacora;Tanguiéta;Tanguiéta;175
2012;1;Borgou;Parakou;Parakou;160
2012;1;Collines;Glazoué;Glazoué;155
2012;1;Donga;Djougou;Djougou;175
2012;1;Littoral;Cotonou;Dantokpa;245
2012;1;Plateau;Kétou;Kétou;140
2012;1;Zou;Abomey;Abomey (Houndjro);200
2012;1;Zou;Bohicon;Bohicon;190
2012;2;Alibori;Banikoara;Banikoara;140
2012;2;Alibori;Malanville;Malanville;150
2012;2;Atacora;Tanguiéta;Tanguiéta;175
2012;2;Borgou;Parakou;Parakou;160
2012;2;Collines;Glazoué;Glazoué;150
2012;2;Donga;Djougou;Djougou;175
2012;2;Littoral;Cotonou;Dantokpa;235
2012;2;Plateau;Kétou;Kétou;150
2012;2;Zou;Abomey;Abomey (Houndjro);200
2012;2;Zou;Bohicon;Bohicon;195
2012;3;Alibori;Banikoara;Banikoara;135
2012;3;Alibori;Malanville;Malanville;190
2012;3;Atacora;Tanguiéta;Tanguiéta;175
2012;3;Borgou;Parakou;Parakou;160
2012;3;Collines;Glazoué;Glazoué;150
2012;3;Donga;Djougou;Djougou;175
2012;3;Littoral;Cotonou;Dantokpa;220
2012;3;Plateau;Kétou;Kétou;150
2012;3;Zou;Abomey;Abomey (Houndjro);220
2012;3;Zou;Bohicon;Bohicon;195
2012;4;Alibori;Banikoara;Banikoara;145
2012;4;Alibori;Malanville;Malanville;190
2012;4;Atacora;Tanguiéta;Tanguiéta;195
2012;4;Borgou;Parakou;Parakou;170
2012;4;Collines;Glazoué;Glazoué;155
2012;4;Donga;Djougou;Djougou;175
2012;4;Littoral;Cotonou;Dantokpa;245
2012;4;Plateau;Kétou;Kétou;170
2012;4;Zou;Abomey;Abomey (Houndjro);220
2012;4;Zou;Bohicon;Bohicon;205
2012;5;Alibori;Banikoara;Banikoara;165
2012;5;Alibori;Malanville;Malanville;190
2012;5;Atacora;Tanguiéta;Tanguiéta;200
2012;5;Borgou;Parakou;Parakou;180
2012;5;Collines;Glazoué;Glazoué;160
2012;5;Donga;Djougou;Djougou;175
2012;5;Littoral;Cotonou;Dantokpa;225
2012;5;Plateau;Kétou;Kétou;165
2012;5;Zou;Abomey;Abomey (Houndjro);220
2012;5;Zou;Bohicon;Bohicon;190
2012;6;Alibori;Banikoara;Banikoara;145
2012;6;Alibori;Malanville;Malanville;210
2012;6;Atacora;Tanguiéta;Tanguiéta;200
2012;6;Borgou;Parakou;Parakou;165
2012;6;Collines;Glazoué;Glazoué;155
2012;6;Donga;Djougou;Djougou;175
2012;6;Littoral;Cotonou;Dantokpa;220
2012;6;Plateau;Kétou;Kétou;155
2012;6;Zou;Abomey;Abomey (Houndjro);220
2012;6;Zou;Bohicon;Bohicon;175
2012;7;Alibori;Banikoara;Banikoara;185
2012;7;Alibori;Malanville;Malanville;230
2012;7;Atacora;Tanguiéta;Tanguiéta;200
2012;7;Borgou;Parakou;Parakou;185
2012;7;Collines;Glazoué;Glazoué;160
2012;7;Donga;Djougou;Djougou;180
2012;7;Littoral;Cotonou;Dantokpa;275
2012;7;Plateau;Kétou;Kétou;165
2012;7;Zou;Abomey;Abomey (Houndjro);220
2012;7;Zou;Bohicon;Bohicon;165
2012;8;Alibori;Banikoara;Banikoara;185
2012;8;Alibori;Malanville;Malanville;240
2012;8;Atacora;Tanguiéta;Tanguiéta;180
2012;8;Borgou;Parakou;Parakou;235
2012;8;Collines;Glazoué;Glazoué;165
2012;8;Donga;Djougou;Djougou;180
2012;8;Littoral;Cotonou;Dantokpa;255
2012;8;Plateau;Kétou;Kétou;145
2012;8;Zou;Abomey;Abomey (Houndjro);230
2012;8;Zou;Bohicon;Bohicon;220
2012;9;Alibori;Banikoara;Banikoara;125
2012;9;Alibori;Malanville;Malanville;150
2012;9;Atacora;Tanguiéta;Tanguiéta;150
2012;9;Borgou;Parakou;Parakou;150
2012;9;Collines;Glazoué;Glazoué;135
2012;9;Donga;Djougou;Djougou;160
2012;9;Littoral;Cotonou;Dantokpa;235
2012;9;Plateau;Kétou;Kétou;120
2012;9;Zou;Abomey;Abomey (Houndjro);165
2012;9;Zou;Bohicon;Bohicon;160
2012;10;Alibori;Banikoara;Banikoara;105
2012;10;Alibori;Malanville;Malanville;150
2012;10;Atacora;Tanguiéta;Tanguiéta;155
2012;10;Borgou;Parakou;Parakou;170
2012;10;Collines;Dassa-Zoumè;Dassa-Zoumè;230
2012;10;Collines;Glazoué;Glazoué;135
2012;10;Donga;Djougou;Djougou;160
2012;10;Littoral;Cotonou;Dantokpa;235
2012;10;Littoral;Cotonou;Houéyiho;230
2012;10;Plateau;Kétou;Kétou;125
2012;10;Zou;Abomey;Abomey (Houndjro);200
2012;10;Zou;Bohicon;Bohicon;175
2012;11;Alibori;Banikoara;Banikoara;105
2012;11;Alibori;Malanville;Malanville;150
2012;11;Atacora;Tanguiéta;Tanguiéta;145
2012;11;Borgou;Parakou;Parakou;165
2012;11;Collines;Dassa-Zoumè;Dassa-Zoumè;220
2012;11;Collines;Glazoué;Glazoué;140
2012;11;Donga;Djougou;Djougou;160
2012;11;Littoral;Cotonou;Dantokpa;220
2012;11;Littoral;Cotonou;Houéyiho;220
2012;11;Plateau;Kétou;Kétou;130
2012;11;Zou;Abomey;Abomey (Houndjro);200
2012;11;Zou;Bohicon;Bohicon;175
2012;12;Alibori;Banikoara;Banikoara;125
2012;12;Alibori;Malanville;Malanville;150
2012;12;Atacora;Tanguiéta;Tanguiéta;145
2012;12;Borgou;Parakou;Parakou;165
2012;12;Collines;Dassa-Zoumè;Dassa-Zoumè;245
2012;12;Collines;Glazoué;Glazoué;150
2012;12;Donga;Djougou;Djougou;175
2012;12;Littoral;Cotonou;Dantokpa;220
2012;12;Littoral;Cotonou;Houéyiho;220
2012;12;Plateau;Kétou;Kétou;125
2012;12;Zou;Abomey;Abomey (Houndjro);220
2012;12;Zou;Bohicon;Bohicon;190
2013;1;Alibori;Banikoara;Banikoara;140
2013;1;Alibori;Malanville;Malanville;150
2013;1;Atacora;Tanguiéta;Tanguiéta;145
2013;1;Borgou;Parakou;Parakou;165
2013;1;Collines;Dassa-Zoumè;Dassa-Zoumè;255
2013;1;Collines;Glazoué;Glazoué;135
2013;1;Donga;Djougou;Djougou;175
2013;1;Littoral;Cotonou;Dantokpa;220
2013;1;Littoral;Cotonou;Houéyiho;220
2013;1;Plateau;Kétou;Kétou;135
2013;1;Zou;Abomey;Abomey (Houndjro);220
2013;1;Zou;Bohicon;Bohicon;190
2013;2;Alibori;Banikoara;Banikoara;140
2013;2;Alibori;Malanville;Malanville;175
2013;2;Atacora;Tanguiéta;Tanguiéta;145
2013;2;Borgou;Parakou;Parakou;165
2013;2;Collines;Dassa-Zoumè;Dassa-Zoumè;235
2013;2;Collines;Glazoué;Glazoué;150
2013;2;Donga;Djougou;Djougou;170
2013;2;Littoral;Cotonou;Dantokpa;220
2013;2;Littoral;Cotonou;Houéyiho;220
2013;2;Plateau;Kétou;Kétou;145
2013;2;Zou;Abomey;Abomey (Houndjro);220
2013;2;Zou;Bohicon;Bohicon;190
2013;3;Alibori;Banikoara;Banikoara;160
2013;3;Alibori;Malanville;Malanville;200
2013;3;Atacora;Tanguiéta;Tanguiéta;175
2013;3;Borgou;Parakou;Parakou;200
2013;3;Collines;Dassa-Zoumè;Dassa-Zoumè;240
2013;3;Collines;Glazoué;Glazoué;200
2013;3;Donga;Djougou;Djougou;195
2013;3;Littoral;Cotonou;Dantokpa;275
2013;3;Littoral;Cotonou;Houéyiho;275
2013;3;Plateau;Kétou;Kétou;215
2013;3;Zou;Abomey;Abomey (Houndjro);275
2013;3;Zou;Bohicon;Bohicon;225
2013;4;Alibori;Banikoara;Banikoara;160
2013;4;Alibori;Malanville;Malanville;200
2013;4;Atacora;Tanguiéta;Tanguiéta;175
2013;4;Borgou;Parakou;Parakou;200
2013;4;Collines;Dassa-Zoumè;Dassa-Zoumè;240
2013;4;Collines;Glazoué;Glazoué;200
2013;4;Donga;Djougou;Djougou;195
2013;4;Littoral;Cotonou;Dantokpa;275
2013;4;Littoral;Cotonou;Houéyiho;
2013;4;Plateau;Kétou;Kétou;215
2013;4;Zou;Abomey;Abomey (Houndjro);275
2013;4;Zou;Bohicon;Bohicon;225
2013;5;Alibori;Banikoara;Banikoara;175
2013;5;Alibori;Malanville;Malanville;200
2013;5;Atacora;Tanguiéta;Tanguiéta;175
2013;5;Borgou;Parakou;Parakou;200
2013;5;Collines;Dassa-Zoumè;Dassa-Zoumè;255
2013;5;Collines;Glazoué;Glazoué;215
2013;5;Donga;Djougou;Djougou;190
2013;5;Littoral;Cotonou;Dantokpa;275
2013;5;Littoral;Cotonou;Houéyiho;275
2013;5;Plateau;Kétou;Kétou;215
2013;5;Zou;Abomey;Abomey (Houndjro);275
2013;5;Zou;Bohicon;Bohicon;225
2013;6;Alibori;Banikoara;Banikoara;175
2013;6;Alibori;Malanville;Malanville;200
2013;6;Atacora;Tanguiéta;Tanguiéta;190
2013;6;Borgou;Parakou;Parakou;205
2013;6;Collines;Dassa-Zoumè;Dassa-Zoumè;255
2013;6;Collines;Glazoué;Glazoué;245
2013;6;Donga;Djougou;Djougou;190
2013;6;Littoral;Cotonou;Dantokpa;275
2013;6;Littoral;Cotonou;Houéyiho;275
2013;6;Plateau;Kétou;Kétou;190
2013;6;Zou;Abomey;Abomey (Houndjro);275
2013;6;Zou;Bohicon;Bohicon;220
2013;7;Alibori;Banikoara;Banikoara;195
2013;7;Alibori;Malanville;Malanville;200
2013;7;Atacora;Tanguiéta;Tanguiéta;200
2013;7;Borgou;Parakou;Parakou;235
2013;7;Collines;Dassa-Zoumè;Dassa-Zoumè;305
2013;7;Collines;Glazoué;Glazoué;245
2013;7;Donga;Djougou;Djougou;200
2013;7;Littoral;Cotonou;Dantokpa;275
2013;7;Littoral;Cotonou;Houéyiho;275
2013;7;Plateau;Kétou;Kétou;200
2013;7;Zou;Abomey;Abomey (Houndjro);275
2013;7;Zou;Bohicon;Bohicon;220
2013;8;Alibori;Banikoara;Banikoara;190
2013;8;Alibori;Malanville;Malanville;150
2013;8;Atacora;Tanguiéta;Tanguiéta;225
2013;8;Borgou;Parakou;Parakou;145
2013;8;Collines;Dassa-Zoumè;Dassa-Zoumè;210
2013;8;Collines;Glazoué;Glazoué;120
2013;8;Donga;Djougou;Djougou;175
2013;8;Littoral;Cotonou;Dantokpa;225
2013;8;Littoral;Cotonou;Houéyiho;225
2013;8;Plateau;Kétou;Kétou;130
2013;8;Zou;Abomey;Abomey (Houndjro);175
2013;8;Zou;Bohicon;Bohicon;150
2013;9;Alibori;Banikoara;Banikoara;125
2013;9;Alibori;Malanville;Malanville;150
2013;9;Atacora;Tanguiéta;Tanguiéta;175
2013;9;Borgou;Parakou;Parakou;130
2013;9;Collines;Dassa-Zoumè;Dassa-Zoumè;170
2013;9;Collines;Glazoué;Glazoué;125
2013;9;Donga;Djougou;Djougou;175
2013;9;Littoral;Cotonou;Dantokpa;210
2013;9;Littoral;Cotonou;Houéyiho;210
2013;9;Plateau;Kétou;Kétou;105
2013;9;Zou;Abomey;Abomey (Houndjro);175
2013;9;Zou;Bohicon;Bohicon;150
2013;10;Alibori;Banikoara;Banikoara;105
2013;10;Alibori;Malanville;Malanville;150
2013;10;Atacora;Tanguiéta;Tanguiéta;145
2013;10;Borgou;Parakou;Parakou;165
2013;10;Collines;Dassa-Zoumè;Dassa-Zoumè;150
2013;10;Collines;Glazoué;Glazoué;125
2013;10;Donga;Djougou;Djougou;160
2013;10;Littoral;Cotonou;Dantokpa;210
2013;10;Littoral;Cotonou;Houéyiho;210
2013;10;Plateau;Kétou;Kétou;115
2013;10;Zou;Abomey;Abomey (Houndjro);175
2013;10;Zou;Bohicon;Bohicon;150
2013;11;Alibori;Banikoara;Banikoara;125
2013;11;Alibori;Malanville;Malanville;150
2013;11;Atacora;Tanguiéta;Tanguiéta;160
2013;11;Borgou;Parakou;Parakou;140
2013;11;Collines;Dassa-Zoumè;Dassa-Zoumè;160
2013;11;Collines;Glazoué;Glazoué;135
2013;11;Donga;Djougou;Djougou;145
2013;11;Littoral;Cotonou;Dantokpa;210
2013;11;Littoral;Cotonou;Houéyiho;210
2013;11;Plateau;Kétou;Kétou;125
2013;11;Zou;Abomey;Abomey (Houndjro);175
2013;11;Zou;Bohicon;Bohicon;160
2013;12;Alibori;Banikoara;Banikoara;125
2013;12;Alibori;Malanville;Malanville;150
2013;12;Atacora;Tanguiéta;Tanguiéta;160
2013;12;Borgou;Parakou;Parakou;145
2013;12;Collines;Dassa-Zoumè;Dassa-Zoumè;130
2013;12;Collines;Glazoué;Glazoué;140
2013;12;Donga;Djougou;Djougou;145
2013;12;Littoral;Cotonou;Dantokpa;210
2013;12;Littoral;Cotonou;Houéyiho;210
2013;12;Plateau;Kétou;Kétou;130
2013;12;Zou;Abomey;Abomey (Houndjro);175
2013;12;Zou;Bohicon;Bohicon;175
2014;1;Alibori;Banikoara;Banikoara;125
2014;1;Alibori;Malanville;Malanville;160
2014;1;Atacora;Tanguiéta;Tanguiéta;175
2014;1;Borgou;Parakou;Parakou;145
2014;1;Collines;Dassa-Zoumè;Dassa-Zoumè;130
2014;1;Collines;Glazoué;Glazoué;135
2014;1;Donga;Djougou;Djougou;145
2014;1;Littoral;Cotonou;Dantokpa;210
2014;1;Littoral;Cotonou;Houéyiho;210
2014;1;Plateau;Kétou;Kétou;125
2014;1;Zou;Abomey;Abomey (Houndjro);185
2014;1;Zou;Bohicon;Bohicon;160
2014;2;Alibori;Banikoara;Banikoara;125
2014;2;Alibori;Malanville;Malanville;150
2014;2;Atacora;Tanguiéta;Tanguiéta;160
2014;2;Borgou;Parakou;Parakou;145
2014;2;Collines;Dassa-Zoumè;Dassa-Zoumè;155
2014;2;Collines;Glazoué;Glazoué;135
2014;2;Donga;Djougou;Djougou;145
2014;2;Littoral;Cotonou;Dantokpa;210
2014;2;Littoral;Cotonou;Houéyiho;210
2014;2;Plateau;Kétou;Kétou;135
2014;2;Zou;Abomey;Abomey (Houndjro);175
2014;2;Zou;Bohicon;Bohicon;150
2014;3;Alibori;Banikoara;Banikoara;150
2014;3;Alibori;Malanville;Malanville;165
2014;3;Atacora;Tanguiéta;Tanguiéta;160
2014;3;Borgou;Parakou;Parakou;180
2014;3;Collines;Dassa-Zoumè;Dassa-Zoumè;145
2014;3;Collines;Glazoué;Glazoué;160
2014;3;Donga;Djougou;Djougou;160
2014;3;Littoral;Cotonou;Dantokpa;220
2014;3;Littoral;Cotonou;Houéyiho;220
2014;3;Plateau;Kétou;Kétou;135
2014;3;Zou;Abomey;Abomey (Houndjro);190
2014;3;Zou;Bohicon;Bohicon;165
2014;4;Alibori;Banikoara;Banikoara;145
2014;4;Alibori;Malanville;Malanville;200
2014;4;Atacora;Tanguiéta;Tanguiéta;175
2014;4;Borgou;Parakou;Parakou;175
2014;4;Collines;Dassa-Zoumè;Dassa-Zoumè;145
2014;4;Collines;Glazoué;Glazoué;165
2014;4;Donga;Djougou;Djougou;175
2014;4;Littoral;Cotonou;Dantokpa;220
2014;4;Littoral;Cotonou;Houéyiho;220
2014;4;Plateau;Kétou;Kétou;135
2014;4;Zou;Abomey;Abomey (Houndjro);190
2014;4;Zou;Bohicon;Bohicon;165
2014;5;Alibori;Banikoara;Banikoara;135
2014;5;Alibori;Malanville;Malanville;165
2014;5;Atacora;Tanguiéta;Tanguiéta;160
2014;5;Borgou;Parakou;Parakou;170
2014;5;Collines;Dassa-Zoumè;Dassa-Zoumè;135
2014;5;Collines;Glazoué;Glazoué;150
2014;5;Donga;Djougou;Djougou;175
2014;5;Littoral;Cotonou;Dantokpa;220
2014;5;Littoral;Cotonou;Houéyiho;220
2014;5;Plateau;Kétou;Kétou;135
2014;5;Zou;Abomey;Abomey (Houndjro);190
2014;5;Zou;Bohicon;Bohicon;165
2014;6;Alibori;Banikoara;Banikoara;135
2014;6;Alibori;Malanville;Malanville;160
2014;6;Atacora;Tanguiéta;Tanguiéta;160
2014;6;Borgou;Parakou;Parakou;160
2014;6;Collines;Dassa-Zoumè;Dassa-Zoumè;135
2014;6;Collines;Glazoué;Glazoué;135
2014;6;Donga;Djougou;Djougou;155
2014;6;Littoral;Cotonou;Dantokpa;220
2014;6;Littoral;Cotonou;Houéyiho;220
2014;6;Plateau;Kétou;Kétou;125
2014;6;Zou;Abomey;Abomey (Houndjro);155
2014;6;Zou;Bohicon;Bohicon;165
2014;7;Alibori;Banikoara;Banikoara;95
2014;7;Alibori;Malanville;Malanville;145
2014;7;Atacora;Tanguiéta;Tanguiéta;175
2014;7;Borgou;Parakou;Parakou;145
2014;7;Collines;Dassa-Zoumè;Dassa-Zoumè;110
2014;7;Collines;Glazoué;Glazoué;130
2014;7;Donga;Djougou;Djougou;145
2014;7;Littoral;Cotonou;Dantokpa;220
2014;7;Littoral;Cotonou;Houéyiho;220
2014;7;Plateau;Kétou;Kétou;110
2014;7;Zou;Abomey;Abomey (Houndjro);155
2014;7;Zou;Bohicon;Bohicon;135
2014;8;Alibori;Banikoara;Banikoara;95
2014;8;Alibori;Malanville;Malanville;135
2014;8;Atacora;Tanguiéta;Tanguiéta;150
2014;8;Borgou;Parakou;Parakou;150
2014;8;Collines;Dassa-Zoumè;Dassa-Zoumè;90
2014;8;Collines;Glazoué;Glazoué;105
2014;8;Donga;Djougou;Djougou;145
2014;8;Littoral;Cotonou;Dantokpa;175
2014;8;Littoral;Cotonou;Houéyiho;175
2014;8;Plateau;Kétou;Kétou;80
2014;8;Zou;Abomey;Abomey (Houndjro);110
2014;8;Zou;Bohicon;Bohicon;110
2014;9;Alibori;Banikoara;Banikoara;115
2014;9;Alibori;Malanville;Malanville;110
2014;9;Atacora;Tanguiéta;Tanguiéta;130
2014;9;Borgou;Parakou;Parakou;140
2014;9;Collines;Dassa-Zoumè;Dassa-Zoumè;80
2014;9;Collines;Glazoué;Glazoué;95
2014;9;Donga;Djougou;Djougou;100
2014;9;Littoral;Cotonou;Dantokpa;165
2014;9;Littoral;Cotonou;Houéyiho;165
2014;9;Plateau;Kétou;Kétou;75
2014;9;Zou;Abomey;Abomey (Houndjro);110
2014;9;Zou;Bohicon;Bohicon;110
2014;10;Alibori;Banikoara;Banikoara;95
2014;10;Alibori;Malanville;Malanville;115
2014;10;Atacora;Tanguiéta;Tanguiéta;145
2014;10;Borgou;Parakou;Parakou;135
2014;10;Collines;Dassa-Zoumè;Dassa-Zoumè;85
2014;10;Collines;Glazoué;Glazoué;95
2014;10;Donga;Djougou;Djougou;100
2014;10;Littoral;Cotonou;Dantokpa;165
2014;10;Littoral;Cotonou;Houéyiho;165
2014;10;Plateau;Kétou;Kétou;95
2014;10;Zou;Abomey;Abomey (Houndjro);125
2014;10;Zou;Bohicon;Bohicon;135
2014;11;Alibori;Banikoara;Banikoara;115
2014;11;Alibori;Malanville;Malanville;120
2014;11;Atacora;Tanguiéta;Tanguiéta;130
2014;11;Borgou;Parakou;Parakou;140
2014;11;Collines;Dassa-Zoumè;Dassa-Zoumè;100
2014;11;Collines;Glazoué;Glazoué;95
2014;11;Donga;Djougou;Djougou;110
2014;11;Littoral;Cotonou;Dantokpa;165
2014;11;Littoral;Cotonou;Houéyiho;165
2014;11;Plateau;Kétou;Kétou;95
2014;11;Zou;Abomey;Abomey (Houndjro);160
2014;11;Zou;Bohicon;Bohicon;135
2014;12;Alibori;Banikoara;Banikoara;115
2014;12;Alibori;Malanville;Malanville;135
2014;12;Atacora;Tanguiéta;Tanguiéta;115
2014;12;Borgou;Parakou;Parakou;150
2014;12;Collines;Dassa-Zoumè;Dassa-Zoumè;110
2014;12;Collines;Glazoué;Glazoué;100
2014;12;Donga;Djougou;Djougou;115
2014;12;Littoral;Cotonou;Dantokpa;190
2014;12;Littoral;Cotonou;Houéyiho;190
2014;12;Plateau;Kétou;Kétou;95
2014;12;Zou;Abomey;Abomey (Houndjro);165
2014;12;Zou;Bohicon;Bohicon;135
2015;1;Alibori;Banikoara;Banikoara;95
2015;1;Alibori;Malanville;Malanville;125
2015;1;Atacora;Tanguiéta;Tanguiéta;115
2015;1;Borgou;Parakou;Parakou;130
2015;1;Collines;Dassa-Zoumè;Dassa-Zoumè;105
2015;1;Collines;Glazoué;Glazoué;95
2015;1;Donga;Djougou;Djougou;115
2015;1;Littoral;Cotonou;Dantokpa;180
2015;1;Littoral;Cotonou;Houéyiho;180
2015;1;Plateau;Kétou;Kétou;100
2015;1;Zou;Abomey;Abomey (Houndjro);165
2015;1;Zou;Bohicon;Bohicon;140
2015;2;Alibori;Banikoara;Banikoara;95
2015;2;Alibori;Malanville;Malanville;125
2015;2;Atacora;Tanguiéta;Tanguiéta;115
2015;2;Borgou;Parakou;Parakou;130
2015;2;Collines;Dassa-Zoumè;Dassa-Zoumè;115
2015;2;Collines;Glazoué;Glazoué;95
2015;2;Donga;Djougou;Djougou;115
2015;2;Littoral;Cotonou;Dantokpa;165
2015;2;Littoral;Cotonou;Houéyiho;165
2015;2;Plateau;Kétou;Kétou;100
2015;2;Zou;Abomey;Abomey (Houndjro);165
2015;2;Zou;Bohicon;Bohicon;135
2015;3;Alibori;Banikoara;Banikoara;115
2015;3;Alibori;Malanville;Malanville;130
2015;3;Atacora;Tanguiéta;Tanguiéta;115
2015;3;Borgou;Parakou;Parakou;130
2015;3;Collines;Dassa-Zoumè;Dassa-Zoumè;120
2015;3;Collines;Glazoué;Glazoué;100
2015;3;Donga;Djougou;Djougou;115
2015;3;Littoral;Cotonou;Dantokpa;165
2015;3;Littoral;Cotonou;Houéyiho;165
2015;3;Plateau;Kétou;Kétou;100
2015;3;Zou;Abomey;Abomey (Houndjro);165
2015;3;Zou;Bohicon;Bohicon;135
2015;4;Alibori;Banikoara;Banikoara;115
2015;4;Alibori;Malanville;Malanville;155
2015;4;Atacora;Tanguiéta;Tanguiéta;130
2015;4;Borgou;Parakou;Parakou;140
2015;4;Collines;Dassa-Zoumè;Dassa-Zoumè;125
2015;4;Collines;Glazoué;Glazoué;105
2015;4;Donga;Djougou;Djougou;132
2015;4;Littoral;Cotonou;Dantokpa;210
2015;4;Littoral;Cotonou;Houéyiho;210
2015;4;Plateau;Kétou;Kétou;100
2015;4;Zou;Abomey;Abomey (Houndjro);170
2015;4;Zou;Bohicon;Bohicon;155
2015;5;Alibori;Banikoara;Banikoara;150
2015;5;Alibori;Malanville;Malanville;185
2015;5;Atacora;Tanguiéta;Tanguiéta;130
2015;5;Borgou;Parakou;Parakou;180
2015;5;Collines;Dassa-Zoumè;Dassa-Zoumè;120
2015;5;Collines;Glazoué;Glazoué;125
2015;5;Donga;Djougou;Djougou;150
2015;5;Littoral;Cotonou;Dantokpa;230
2015;5;Littoral;Cotonou;Houéyiho;230
2015;5;Plateau;Kétou;Kétou;160
2015;5;Zou;Abomey;Abomey (Houndjro);215
2015;5;Zou;Bohicon;Bohicon;210
2015;6;Alibori;Banikoara;Banikoara;150
2015;6;Alibori;Malanville;Malanville;165
2015;6;Atacora;Tanguiéta;Tanguiéta;145
2015;6;Borgou;Parakou;Parakou;165
2015;6;Collines;Dassa-Zoumè;Dassa-Zoumè;170
2015;6;Collines;Glazoué;Glazoué;125
2015;6;Donga;Djougou;Djougou;170
2015;6;Littoral;Cotonou;Dantokpa;275
2015;6;Littoral;Cotonou;Houéyiho;275
2015;6;Plateau;Kétou;Kétou;165
2015;6;Zou;Abomey;Abomey (Houndjro);220
2015;6;Zou;Bohicon;Bohicon;215
2015;7;Alibori;Banikoara;Banikoara;160
2015;7;Alibori;Malanville;Malanville;165
2015;7;Atacora;Tanguiéta;Tanguiéta;145
2015;7;Borgou;Parakou;Parakou;190
2015;7;Collines;Dassa-Zoumè;Dassa-Zoumè;210
2015;7;Collines;Glazoué;Glazoué;145
2015;7;Donga;Djougou;Djougou;175
2015;7;Littoral;Cotonou;Dantokpa;245
2015;7;Littoral;Cotonou;Houéyiho;245
2015;7;Plateau;Kétou;Kétou;150
2015;7;Zou;Abomey;Abomey (Houndjro);255
2015;7;Zou;Bohicon;Bohicon;220
2015;8;Alibori;Banikoara;Banikoara;180
2015;8;Alibori;Malanville;Malanville;205
2015;8;Atacora;Tanguiéta;Tanguiéta;180
2015;8;Borgou;Parakou;Parakou;200
2015;8;Collines;Dassa-Zoumè;Dassa-Zoumè;230
2015;8;Collines;Glazoué;Glazoué;170
2015;8;Donga;Djougou;Djougou;180
2015;8;Littoral;Cotonou;Dantokpa;275
2015;8;Littoral;Cotonou;Houéyiho;275
2015;8;Plateau;Kétou;Kétou;145
2015;8;Zou;Abomey;Abomey (Houndjro);275
2015;8;Zou;Bohicon;Bohicon;220
2015;9;Alibori;Banikoara;Banikoara;170
2015;9;Alibori;Malanville;Malanville;210
2015;9;Atacora;Tanguiéta;Tanguiéta;180
2015;9;Borgou;Parakou;Parakou;190
2015;9;Collines;Dassa-Zoumè;Dassa-Zoumè;225
2015;9;Collines;Glazoué;Glazoué;160
2015;9;Donga;Djougou;Djougou;180
2015;9;Littoral;Cotonou;Dantokpa;265
2015;9;Littoral;Cotonou;Houéyiho;265
