"commune","year","tmax","month"
"KANDI_AEROPORT","2013","34.8","1"
"NATITINGOU","2013","34.9","1"
"PARAKOU_AEROPORT","2013","35.7","1"
"SAVE","2013","37.6","1"
"BOHICON","2013","35.8","1"
"COTONOU_AEROPORT","2013","32.6","1"
"KANDI_AEROPORT","2013","37.8","2"
"NATITINGOU","2013","36.7","2"
"PARAKOU_AEROPORT","2013","37.2","2"
"SAVE","2013","37.9","2"
"BOHICON","2013","36.4","2"
"COTONOU_AEROPORT","2013","32.4","2"
"KANDI_AEROPORT","2013","40.9","3"
"NATITINGOU","2013","36.9","3"
"PARAKOU_AEROPORT","2013","37","3"
"SAVE","2013","36.6","3"
"BOHICON","2013","35.8","3"
"COTONOU_AEROPORT","2013","32.4","3"
"KANDI_AEROPORT","2013","38.2","4"
"NATITINGOU","2013","35.2","4"
"PARAKOU_AEROPORT","2013","34.6","4"
"SAVE","2013","34.7","4"
"BOHICON","2013","34.5","4"
"COTONOU_AEROPORT","2013","32","4"
"KANDI_AEROPORT","2013","36.3","5"
"NATITINGOU","2013","34.2","5"
"PARAKOU_AEROPORT","2013","32.5","5"
"SAVE","2013","33.6","5"
"BOHICON","2013","32.5","5"
"COTONOU_AEROPORT","2013","31.2","5"
"KANDI_AEROPORT","2013","33.4","6"
"NATITINGOU","2013","31.9","6"
"PARAKOU_AEROPORT","2013","30.9","6"
"SAVE","2013","32.2","6"
"BOHICON","2013","31.6","6"
"COTONOU_AEROPORT","2013","29.9","6"
"KANDI_AEROPORT","2013","31.8","7"
"NATITINGOU","2013","30.5","7"
"PARAKOU_AEROPORT","2013","29.5","7"
"SAVE","2013","30.5","7"
"BOHICON","2013","29.8","7"
"COTONOU_AEROPORT","2013","28.5","7"
"KANDI_AEROPORT","2013","30","8"
"NATITINGOU","2013","29.2","8"
"PARAKOU_AEROPORT","2013","28.1","8"
"SAVE","2013","29.6","8"
"BOHICON","2013","29.6","8"
"COTONOU_AEROPORT","2013","28.2","8"
"KANDI_AEROPORT","2013","31.6","9"
"NATITINGOU","2013","31.1","9"
"PARAKOU_AEROPORT","2013","29.8","9"
"SAVE","2013","31.1","9"
"BOHICON","2013","30.6","9"
"COTONOU_AEROPORT","2013","29.3","9"
"KANDI_AEROPORT","2013","34.2","10"
"NATITINGOU","2013","33.5","10"
"PARAKOU_AEROPORT","2013","31.6","10"
"SAVE","2013","32.7","10"
"BOHICON","2013","32","10"
"COTONOU_AEROPORT","2013","30.1","10"
"KANDI_AEROPORT","2013","36.8","11"
"NATITINGOU","2013","36.1","11"
"PARAKOU_AEROPORT","2013","35.1","11"
"SAVE","2013","35.7","11"
"BOHICON","2013","33.9","11"
"COTONOU_AEROPORT","2013","31.4","11"
"KANDI_AEROPORT","2013","34.9","12"
"NATITINGOU","2013","35.1","12"
"PARAKOU_AEROPORT","2013","35.2","12"
"SAVE","2013","36.3","12"
"BOHICON","2013","34.6","12"
"COTONOU_AEROPORT","2013","31.5","12"
"KANDI_AEROPORT","2014","35.2","1"
"NATITINGOU","2014","35.7","1"
"PARAKOU_AEROPORT","2014","35.7","1"
"SAVE","2014","36.9","1"
"BOHICON","2014","35.1","1"
"COTONOU_AEROPORT","2014","31.4","1"
"KANDI_AEROPORT","2014","36.9","2"
"NATITINGOU","2014","37","2"
"PARAKOU_AEROPORT","2014","37","2"
"SAVE","2014","38","2"
"BOHICON","2014","36.3","2"
"COTONOU_AEROPORT","2014","32","2"
"KANDI_AEROPORT","2014","39.7","3"
"NATITINGOU","2014","37.8","3"
"PARAKOU_AEROPORT","2014","37.2","3"
"SAVE","2014","37","3"
"BOHICON","2014","35","3"
"COTONOU_AEROPORT","2014","32.1","3"
"KANDI_AEROPORT","2014","38.2","4"
"NATITINGOU","2014","35.6","4"
"PARAKOU_AEROPORT","2014","34.3","4"
"SAVE","2014","35.6","4"
"BOHICON","2014","33.7","4"
"COTONOU_AEROPORT","2014","32","4"
"KANDI_AEROPORT","2014","35.2","5"
"NATITINGOU","2014","34.1","5"
"PARAKOU_AEROPORT","2014","32.6","5"
"SAVE","2014","33.9","5"
"BOHICON","2014","32.9","5"
"COTONOU_AEROPORT","2014","31.6","5"
"KANDI_AEROPORT","2014","33.9","6"
"NATITINGOU","2014","32.8","6"
"PARAKOU_AEROPORT","2014","31.1","6"
"SAVE","2014","32.6","6"
"BOHICON","2014","31.8","6"
"COTONOU_AEROPORT","2014","29.9","6"
"KANDI_AEROPORT","2014","32.3","7"
"NATITINGOU","2014","31","7"
"PARAKOU_AEROPORT","2014","30.2","7"
"SAVE","2014","31","7"
"BOHICON","2014","30.1","7"
"COTONOU_AEROPORT","2014","29","7"
"KANDI_AEROPORT","2014","30.7","8"
"NATITINGOU","2014","29.4","8"
"PARAKOU_AEROPORT","2014","28","8"
"SAVE","2014","28.9","8"
"BOHICON","2014","28.9","8"
"COTONOU_AEROPORT","2014","28.1","8"
"KANDI_AEROPORT","2014","31","9"
"NATITINGOU","2014","30.8","9"
"PARAKOU_AEROPORT","2014","29.4","9"
"SAVE","2014","30.4","9"
"BOHICON","2014","30.5","9"
"COTONOU_AEROPORT","2014","28.6","9"
"KANDI_AEROPORT","2014","34.5","10"
"NATITINGOU","2014","32.9","10"
"PARAKOU_AEROPORT","2014","31.3","10"
"SAVE","2014","32.3","10"
"BOHICON","2014","32.2","10"
"COTONOU_AEROPORT","2014","30","10"
"KANDI_AEROPORT","2014","36.9","11"
"NATITINGOU","2014","34.9","11"
"PARAKOU_AEROPORT","2014","33.3","11"
"SAVE","2014","33.9","11"
"BOHICON","2014","33.3","11"
"COTONOU_AEROPORT","2014","31.1","11"
"KANDI_AEROPORT","2014","35","12"
"NATITINGOU","2014","35.6","12"
"PARAKOU_AEROPORT","2014","34.4","12"
"SAVE","2014","36.1","12"
"BOHICON","2014","35","12"
"COTONOU_AEROPORT","2014","32.1","12"
"KANDI_AEROPORT","2015","32.8","1"
"NATITINGOU","2015","34.8","1"
"PARAKOU_AEROPORT","2015","34.7","1"
"SAVE","2015","36.6","1"
"BOHICON","2015","35","1"
"COTONOU_AEROPORT","2015","31.4","1"
"KANDI_AEROPORT","2015","38.1","2"
"NATITINGOU","2015","37.5","2"
"PARAKOU_AEROPORT","2015","37.1","2"
"SAVE","2015","38.2","2"
"BOHICON","2015","36.1","2"
"COTONOU_AEROPORT","2015","32.2","2"
"KANDI_AEROPORT","2015","38.5","3"
"NATITINGOU","2015","37.2","3"
"PARAKOU_AEROPORT","2015","36.7","3"
"SAVE","2015","37.1","3"
"BOHICON","2015","35.3","3"
"COTONOU_AEROPORT","2015","32.1","3"
"KANDI_AEROPORT","2015","40","4"
"NATITINGOU","2015","38.5","4"
"PARAKOU_AEROPORT","2015","36.5","4"
"SAVE","2015","36.1","4"
"BOHICON","2015","34.6","4"
"COTONOU_AEROPORT","2015","32.4","4"
"KANDI_AEROPORT","2015","37.5","5"
"NATITINGOU","2015","36.3","5"
"PARAKOU_AEROPORT","2015","34.5","5"
"SAVE","2015","35.2","5"
"BOHICON","2015","33.9","5"
"COTONOU_AEROPORT","2015","32.1","5"
"KANDI_AEROPORT","2015","34.9","6"
"NATITINGOU","2015","33.9","6"
"PARAKOU_AEROPORT","2015","31.3","6"
"SAVE","2015","31.9","6"
"BOHICON","2015","31.6","6"
"COTONOU_AEROPORT","2015","29.3","6"
"KANDI_AEROPORT","2015","32.2","7"
"NATITINGOU","2015","30.6","7"
"PARAKOU_AEROPORT","2015","29.9","7"
"SAVE","2015","31.4","7"
"BOHICON","2015","30.8","7"
"COTONOU_AEROPORT","2015","28.9","7"
"KANDI_AEROPORT","2015","30.3","8"
"NATITINGOU","2015","29.5","8"
"PARAKOU_AEROPORT","2015","28.9","8"
"SAVE","2015","31","8"
"BOHICON","2015","30.7","8"
"COTONOU_AEROPORT","2015","28.2","8"
"KANDI_AEROPORT","2015","31.5","9"
"NATITINGOU","2015","30.9","9"
"PARAKOU_AEROPORT","2015","29.8","9"
"SAVE","2015","31.2","9"
"BOHICON","2015","31","9"
"COTONOU_AEROPORT","2015","28.7","9"
"KANDI_AEROPORT","2015","34.1","10"
"NATITINGOU","2015","32.9","10"
"PARAKOU_AEROPORT","2015","31.2","10"
"SAVE","2015","33.3","10"
"BOHICON","2015","32.3","10"
"COTONOU_AEROPORT","2015","30.2","10"
"KANDI_AEROPORT","2015","35.3","11"
"NATITINGOU","2015","35.4","11"
"PARAKOU_AEROPORT","2015","34.2","11"
"SAVE","2015","36.3","11"
"BOHICON","2015","33.9","11"
"COTONOU_AEROPORT","2015","31.6","11"
"KANDI_AEROPORT","2015","30.9","12"
"NATITINGOU","2015","33.1","12"
"PARAKOU_AEROPORT","2015","32.5","12"
"SAVE","2015","37.2","12"
"BOHICON","2015","35.1","12"
"COTONOU_AEROPORT","2015","32.7","12"
"KANDI_AEROPORT","2016","32.9","1"
"NATITINGOU","2016","34.4","1"
"PARAKOU_AEROPORT","2016","34.1","1"
"SAVE","2016","37.7","1"
"BOHICON","2016","35.9","1"
"COTONOU_AEROPORT","2016","32.3","1"
"KANDI_AEROPORT","2016","36.4","2"
"NATITINGOU","2016","37","2"
"PARAKOU_AEROPORT","2016","36.9","2"
"SAVE","2016","39.3","2"
"BOHICON","2016","37.5","2"
"COTONOU_AEROPORT","2016","32.1","2"
"KANDI_AEROPORT","2016","39.6","3"
"NATITINGOU","2016","37.6","3"
"PARAKOU_AEROPORT","2016","37.4","3"
"SAVE","2016","37.8","3"
"BOHICON","2016","35.2","3"
"COTONOU_AEROPORT","2016","32.2","3"
"KANDI_AEROPORT","2016","38.5","4"
"NATITINGOU","2016","36.3","4"
"PARAKOU_AEROPORT","2016","34.7","4"
"SAVE","2016","36.3","4"
"BOHICON","2016","34","4"
"COTONOU_AEROPORT","2016","32.6","4"
"KANDI_AEROPORT","2016","36.8","5"
"NATITINGOU","2016","34.8","5"
"PARAKOU_AEROPORT","2016","33.5","5"
"SAVE","2016","34.4","5"
"BOHICON","2016","32.6","5"
"COTONOU_AEROPORT","2016","31.5","5"
"KANDI_AEROPORT","2016","32.8","6"
"NATITINGOU","2016","31.7","6"
"PARAKOU_AEROPORT","2016","30.9","6"
"SAVE","2016","31.5","6"
"BOHICON","2016","30.7","6"
"COTONOU_AEROPORT","2016","29.5","6"
"KANDI_AEROPORT","2016","31.8","7"
"NATITINGOU","2016","30","7"
"PARAKOU_AEROPORT","2016","28.9","7"
"SAVE","2016","31.1","7"
"BOHICON","2016","29.9","7"
"COTONOU_AEROPORT","2016","28.8","7"
"KANDI_AEROPORT","2016","30.4","8"
"NATITINGOU","2016","30.1","8"
"PARAKOU_AEROPORT","2016","28.7","8"
"SAVE","2016","29.7","8"
"BOHICON","2016","29.7","8"
"COTONOU_AEROPORT","2016","28.3","8"
"KANDI_AEROPORT","2016","31.3","9"
"NATITINGOU","2016","31.5","9"
"PARAKOU_AEROPORT","2016","30.1","9"
"SAVE","2016","31.8","9"
"BOHICON","2016","31.1","9"
"COTONOU_AEROPORT","2016","29.3","9"
"KANDI_AEROPORT","2016","35.3","10"
"NATITINGOU","2016","34.5","10"
"PARAKOU_AEROPORT","2016","32.1","10"
"SAVE","2016","33.2","10"
"BOHICON","2016","32.3","10"
"COTONOU_AEROPORT","2016","30.4","10"
"KANDI_AEROPORT","2016","36.9","11"
"NATITINGOU","2016","36.9","11"
"PARAKOU_AEROPORT","2016","35.1","11"
"SAVE","2016","36","11"
"BOHICON","2016","35.2","11"
"COTONOU_AEROPORT","2016","32","11"
"KANDI_AEROPORT","2016","35.2","12"
"NATITINGOU","2016","36.4","12"
"PARAKOU_AEROPORT","2016","34.7","12"
"SAVE","2016","37","12"
"BOHICON","2016","35.2","12"
"COTONOU_AEROPORT","2016","32.4","12"
"KANDI_AEROPORT","2017","34.6","1"
"NATITINGOU","2017","35.7","1"
"PARAKOU_AEROPORT","2017","35.1","1"
"SAVE","2017","37.7","1"
"BOHICON","2017","35.5","1"
"COTONOU_AEROPORT","2017","31.9","1"
"KANDI_AEROPORT","2017","36.3","2"
"NATITINGOU","2017","37.2","2"
"PARAKOU_AEROPORT","2017","36.3","2"
"SAVE","2017","38.9","2"
"BOHICON","2017","36.7","2"
"COTONOU_AEROPORT","2017","32.8","2"
"KANDI_AEROPORT","2017","40.3","3"
"NATITINGOU","2017","39.5","3"
"PARAKOU_AEROPORT","2017","38.5","3"
"SAVE","2017","39.7","3"
"BOHICON","2017","36.7","3"
"COTONOU_AEROPORT","2017","32.6","3"
"KANDI_AEROPORT","2017","40.1","4"
"NATITINGOU","2017","37.4","4"
"PARAKOU_AEROPORT","2017","35.5","4"
"SAVE","2017","37.4","4"
"BOHICON","2017","35.2","4"
"COTONOU_AEROPORT","2017","32.5","4"
"KANDI_AEROPORT","2017","36.2","5"
"NATITINGOU","2017","34.2","5"
"PARAKOU_AEROPORT","2017","33","5"
"SAVE","2017","35.3","5"
"BOHICON","2017","33","5"
"COTONOU_AEROPORT","2017","31.4","5"
"KANDI_AEROPORT","2017","33.1","6"
"NATITINGOU","2017","31.6","6"
"PARAKOU_AEROPORT","2017","31.1","6"
"SAVE","2017","33.3","6"
"BOHICON","2017","32","6"
"COTONOU_AEROPORT","2017","29.6","6"
"KANDI_AEROPORT","2017","31.4","7"
"NATITINGOU","2017","30.1","7"
"PARAKOU_AEROPORT","2017","29.8","7"
"SAVE","2017","32","7"
"BOHICON","2017","30.7","7"
"COTONOU_AEROPORT","2017","28.5","7"
"KANDI_AEROPORT","2017","30","8"
"NATITINGOU","2017","29.3","8"
"PARAKOU_AEROPORT","2017","28.2","8"
"SAVE","2017","29.9","8"
"BOHICON","2017","29.1","8"
"COTONOU_AEROPORT","2017","27.8","8"
"KANDI_AEROPORT","2017","30.7","9"
"NATITINGOU","2017","31","9"
"PARAKOU_AEROPORT","2017","29.3","9"
"SAVE","2017","31.2","9"
"BOHICON","2017","31.1","9"
"COTONOU_AEROPORT","2017","28.8","9"
"KANDI_AEROPORT","2017","34.5","10"
"NATITINGOU","2017","34.5","10"
"PARAKOU_AEROPORT","2017","32.5","10"
"SAVE","2017","34.2","10"
"BOHICON","2017","33.8","10"
"COTONOU_AEROPORT","2017","30.8","10"
"KANDI_AEROPORT","2017","35.8","11"
"NATITINGOU","2017","35.9","11"
"PARAKOU_AEROPORT","2017","34.9","11"
"SAVE","2017","36.5","11"
"BOHICON","2017","34.5","11"
"COTONOU_AEROPORT","2017","31.6","11"
"KANDI_AEROPORT","2017","33.5","12"
"NATITINGOU","2017","34.9","12"
"PARAKOU_AEROPORT","2017","34","12"
"SAVE","2017","35.8","12"
"BOHICON","2017","35.4","12"
